taz_id,far_prcnt_estimate_q8,far_estimate_count,units_per_acre_q8,units_per_acre_estimate_count
1.0,269.02682000000004,2,117.18811279999998,2
2.0,1094.5114800000003,5,476.7692304000001,5
3.0,575.0688,22,250.50000000000003,22
4.0,774.84798,5,337.52380880000004,5
5.0,1232.60572,19,536.9230764,19
6.0,813.2821399999999,93,354.2657336,93
7.0,1176.5381,91,512.5,91
8.0,1111.1110400000002,90,484.00000000000006,90
9.0,943.8391600000002,123,411.13636360000004,123
10.0,631.3131000000001,112,275.0,112
11.0,915.2127000000004,104,398.6666660000002,104
12.0,853.9548600000003,8,371.9827584000001,8
13.0,3299.22596,5,1437.142857,5
14.0,1636.1966400000008,4,712.7272724000003,4
15.0,211.65409999999997,1,92.19653100000001,1
16.0,1169.3663400000003,50,509.37600260000005,50
17.0,566.26872,79,246.66666640000003,79
18.0,561.1672000000001,63,244.44444399999998,63
19.0,510.9368400000002,79,222.56410220000012,79
20.0,306.0912,251,133.333333,251
21.0,633.0790199999999,99,275.76923039999997,99
22.0,421.05168,10,183.4101376,10
23.0,680.3063600000003,10,296.34146320000013,10
24.0,625.63184,38,272.525252,38
25.0,688.7052000000001,102,300.0,102
26.0,577.20054,60,251.4285714,60
27.0,426.3413,161,185.71428500000002,161
28.0,453.39756,269,197.4999998,269
29.0,591.3881399999999,163,257.6086954,163
30.0,770.8620999999999,149,335.787545,149
31.0,736.91458,100,321.0,100
32.0,459.1368,267,200.0,267
33.0,321.39570000000003,394,140.0,394
34.0,258.26439999999997,501,112.5,501
35.0,306.0912,533,133.333333,533
36.0,412.2565000000001,293,179.57894720000002,293
37.0,382.61400000000003,339,166.666666,339
38.0,267.8298,669,116.66666599999999,669
39.0,229.5684,549,100.0,549
40.0,250.43820000000002,415,109.09090900000001,415
41.0,306.0912,170,133.333333,170
42.0,204.67270000000002,17,89.155438,17
43.0,153.0456,823,66.666666,823
44.0,196.7729,821,85.714285,821
45.0,183.65470000000002,613,80.0,613
46.0,306.0912,395,133.333333,395
47.0,199.34182,310,86.83333280000002,310
48.0,172.17630000000003,604,75.0,604
49.0,85.18192000000013,784,37.10526300000006,784
50.0,127.538,871,55.555555000000005,871
51.0,114.7842,646,50.0,646
52.0,342.8221400000001,17,149.33333280000005,17
53.0,289.25612,10,126.0,10
54.0,86.08809999999998,1558,37.5,1558
55.0,76.5228,914,33.333333,914
56.0,76.5228,46,33.333333,46
57.0,38.2614,806,16.666666,806
58.0,131.18190000000004,842,57.14285699999999,842
59.0,86.0881,1750,37.5,1750
60.0,76.5228,856,33.333333,856
61.0,114.7842,860,50.0,860
62.0,131.1819,1295,57.14285699999999,1295
63.0,91.8273,1141,40.0,1141
64.0,98.3864,1270,42.857141999999996,1270
65.0,131.1819,901,57.14285699999999,901
66.0,131.18190000000004,717,57.14285699999999,717
67.0,131.1819,824,57.14285699999999,824
68.0,114.7842,569,50.0,569
69.0,114.7842,996,50.0,996
70.0,114.7842,1035,50.0,1035
71.0,89.53162000000012,923,39.00000000000006,923
72.0,140.0366800000002,364,61.000000000000085,364
73.0,218.69960000000012,415,95.26557360000005,415
74.0,229.5684,139,100.0,139
75.0,492.29838,70,214.44521480000003,70
76.0,618.62638,35,269.4736836,35
77.0,597.73204,82,260.3720928,82
78.0,408.8503800000001,68,178.09523740000003,68
79.0,459.1368,190,200.0,190
80.0,229.5684,418,100.0,418
81.0,229.5684,644,100.0,644
82.0,153.0456,479,66.666666,479
83.0,114.7842,938,50.0,938
84.0,153.0456,670,66.666666,670
85.0,229.5684,377,100.0,377
86.0,212.8511000000001,539,92.71794840000004,539
87.0,153.0456,655,66.666666,655
88.0,183.65470000000002,616,80.0,616
89.0,128.99556000000035,1444,56.190475800000144,1444
90.0,163.97740000000002,674,71.42857099999999,674
91.0,76.5228,1174,33.333333,1174
92.0,32.7954,919,14.285714000000002,919
93.0,114.7842,1539,50.0,1539
94.0,114.7842,598,50.0,598
95.0,76.5228,844,33.333333,844
96.0,76.5228,733,33.333333,733
97.0,114.7842,837,50.0,837
98.0,114.7842,991,50.0,991
99.0,172.17630000000003,565,75.0,565
100.0,229.5684,427,100.0,427
101.0,229.5684,561,100.0,561
102.0,183.65470000000005,762,80.0,762
103.0,114.7842,1091,50.0,1091
104.0,191.30700000000002,419,83.333333,419
105.0,229.5684,520,100.0,520
106.0,413.2231,287,180.0,287
107.0,267.6110800000001,214,116.57142840000002,214
108.0,594.1953199999999,20,258.8315216,20
109.0,352.0947,38,153.37245620000002,38
110.0,338.6660400000001,48,147.52293560000004,48
111.0,218.63650000000004,156,95.238095,156
112.0,114.7842,491,50.0,491
113.0,114.7842,896,50.0,896
114.0,76.5228,796,33.333333,796
115.0,114.7842,271,50.0,271
116.0,172.17630000000003,510,75.0,510
117.0,137.741,576,60.0,576
118.0,159.99144000000004,403,69.69230760000002,403
119.0,114.7842,388,50.0,388
120.0,114.7842,510,50.0,510
121.0,57.3921,1068,25.0,1068
122.0,91.8273,1579,40.0,1579
123.0,114.7842,903,50.0,903
124.0,91.8273,778,40.0,778
125.0,57.3921,901,25.0,901
126.0,76.5228,936,33.333333,936
127.0,76.5228,1228,33.333333,1228
128.0,114.7842,1185,50.0,1185
129.0,57.3921,978,25.0,978
130.0,45.9136,1255,20.0,1255
131.0,38.2614,2645,16.666666,2645
132.0,32.7954,1133,14.285714000000002,1133
133.0,57.3921,1909,25.0,1909
134.0,65.59089999999999,1959,28.571428000000004,1959
135.0,76.5228,1068,33.333333,1068
136.0,57.3921,884,25.0,884
137.0,57.3921,1424,25.0,1424
138.0,57.3921,2040,25.0,2040
139.0,57.3921,1165,25.0,1165
140.0,57.3921,1034,25.0,1034
141.0,149.98468000000017,427,65.33333280000008,427
142.0,212.31854,65,92.48598980000001,65
143.0,65.59089999999999,297,28.571428000000004,297
144.0,76.5228,537,33.333333,537
145.0,126.85066000000003,94,55.2561662,94
146.0,229.5684,98,100.0,98
147.0,57.3921,1097,25.0,1097
148.0,45.9136,626,20.0,626
149.0,114.7842,701,50.0,701
150.0,153.0456,555,66.666666,555
151.0,65.59089999999999,403,28.571428000000004,403
152.0,57.3921,1240,25.0,1240
153.0,57.3921,1027,25.0,1027
154.0,76.5228,804,33.333333,804
155.0,76.5228,814,33.333333,814
156.0,76.5228,457,33.333333,457
157.0,91.8273,227,40.0,227
158.0,91.82730000000001,123,40.0,123
159.0,57.3921,992,25.0,992
160.0,57.3921,1113,25.0,1113
161.0,76.5228,899,33.333333,899
162.0,76.5228,974,33.333333,974
163.0,57.3921,940,25.0,940
164.0,57.3921,1582,25.0,1582
165.0,57.3921,1401,25.0,1401
166.0,76.5228,1954,33.333333,1954
167.0,57.3921,1550,25.0,1550
168.0,76.5228,2469,33.333333,2469
169.0,28.695999999999998,2393,12.5,2393
